design,environment,experiment_id,trial_id,state,wall_seconds,allocation,required_margin,sigma,seed,feasible,stop,mip_status,nodes,mip_gap,dual_bound,solve_wall,effort,dense_margin,planned_rho_AGR_1,planned_rho_AGR_2,planned_rho_AGR_3,executed_rho_AGR_1,executed_rho_AGR_2,executed_rho_AGR_3,min_rho,violations,binding_AGR_1,binding_AGR_2,binding_AGR_3
alloc012-m0.15,sigma0.06-seed0,1,1,TrialState.SUCCESSFUL|SHUT_DOWN,44.108367443,0-1-2,0.15,0.06,0,1,optimal,0,5691,0.049958693,3.252126912,43.279260914,3.423142644,0.000384615,0.15,0.15,0.15,-0.086958987,-0.086958987,0.027041778,-0.086958987,2,"sep(1,2)@k=8","sep(1,2)@k=8",OBS_WALL_SOUTH@k=6
alloc012-m0.15,sigma0.06-seed1,2,2,TrialState.SUCCESSFUL|SHUT_DOWN,43.609973192,0-1-2,0.15,0.06,1,1,optimal,0,5691,0.049958693,3.252126912,43.148848565,3.423142644,0.000384615,0.15,0.15,0.15,0.078960278,0.002288582,0.002288582,0.002288582,0,OBS_WALL_NORTH@k=8,"sep(2,3)@k=13","sep(2,3)@k=13"
alloc012-m0.15,sigma0.06-seed2,3,3,TrialState.SUCCESSFUL|SHUT_DOWN,43.605208874,0-1-2,0.15,0.06,2,1,optimal,0,5691,0.049958693,3.252126912,43.225835314,3.423142644,0.000384615,0.15,0.15,0.15,-0.03653456,-0.03653456,0.018832373,-0.03653456,2,"sep(1,2)@k=8","sep(1,2)@k=8",OBS_WALL_SOUTH@k=6
alloc012-m0.15,sigma0.09-seed0,4,4,TrialState.SUCCESSFUL|SHUT_DOWN,44.108748436,0-1-2,0.15,0.09,0,1,optimal,0,5691,0.049958693,3.252126912,43.270699684,3.423142644,0.000384615,0.15,0.15,0.15,-0.12220232,-0.12220232,-0.034437332,-0.12220232,3,"sep(1,2)@k=8","sep(1,2)@k=8",OBS_WALL_SOUTH@k=6
alloc012-m0.15,sigma0.09-seed1,5,5,TrialState.SUCCESSFUL|SHUT_DOWN,43.604050398,0-1-2,0.15,0.09,1,1,optimal,0,5691,0.049958693,3.252126912,42.958461785,3.423142644,0.000384615,0.15,0.15,0.15,0.043440417,-0.071567128,-0.071567128,-0.071567128,2,OBS_WALL_NORTH@k=8,"sep(2,3)@k=13","sep(2,3)@k=13"
alloc012-m0.15,sigma0.09-seed2,6,6,TrialState.SUCCESSFUL|SHUT_DOWN,43.604115963,0-1-2,0.15,0.09,2,1,optimal,0,5691,0.049958693,3.252126912,42.929333605,3.423142644,0.000384615,0.15,0.15,0.15,-0.15480184,-0.15480184,-0.04675144,-0.15480184,3,"sep(1,2)@k=8","sep(1,2)@k=8",OBS_WALL_SOUTH@k=6
alloc012-m0.15,sigma0.12-seed0,7,7,TrialState.SUCCESSFUL|SHUT_DOWN,43.608227968,0-1-2,0.15,0.12,0,1,optimal,0,5691,0.049958693,3.252126912,43.150890078,3.423142644,0.000384615,0.15,0.15,0.15,-0.145489447,-0.145489447,-0.095916443,-0.145489447,3,"sep(1,2)@k=7","sep(1,2)@k=7",OBS_WALL_SOUTH@k=6
alloc012-m0.15,sigma0.12-seed1,8,8,TrialState.SUCCESSFUL|SHUT_DOWN,43.603977203,0-1-2,0.15,0.12,1,1,optimal,0,5691,0.049958693,3.252126912,43.156222737,3.423142644,0.000384615,0.15,0.15,0.15,0.007920556,-0.145422837,-0.145422837,-0.145422837,2,OBS_WALL_NORTH@k=8,"sep(2,3)@k=13","sep(2,3)@k=13"
alloc012-m0.15,sigma0.12-seed2,9,9,TrialState.SUCCESSFUL|SHUT_DOWN,43.608012676,0-1-2,0.15,0.12,2,1,optimal,0,5691,0.049958693,3.252126912,42.906598663,3.423142644,0.000384615,0.15,0.15,0.15,-0.088669753,-0.088669753,-0.112335254,-0.112335254,3,"sep(1,2)@k=7","sep(1,2)@k=7",OBS_WALL_SOUTH@k=6
alloc012-m0.35,sigma0.06-seed0,10,10,TrialState.SUCCESSFUL|SHUT_DOWN,51.625177383,0-1-2,0.35,0.06,0,1,node limit,4,8000,0.594518614,3.692636566,50.750070445,9.106796736,0.2275,0.35,0.35,0.35,0.094056051,0.094056051,0.187726059,0.094056051,0,"sep(1,2)@k=8","sep(1,2)@k=8","sep(2,3)@k=11"
alloc012-m0.35,sigma0.06-seed1,11,11,TrialState.SUCCESSFUL|SHUT_DOWN,51.632092237,0-1-2,0.35,0.06,1,1,node limit,4,8000,0.594518614,3.692636566,50.930740736,9.106796736,0.2275,0.35,0.35,0.35,0.282924021,0.250960546,0.291624932,0.250960546,0,OBS_WALL_NORTH@k=6,ST_S2@k=14,"sep(2,3)@k=11"
alloc012-m0.35,sigma0.06-seed2,12,12,TrialState.SUCCESSFUL|SHUT_DOWN,51.6296947,0-1-2,0.35,0.06,2,1,node limit,4,8000,0.594518614,3.692636566,50.950543632,9.106796736,0.2275,0.35,0.35,0.35,0.144480477,0.144480477,0.218587915,0.144480477,0,"sep(1,2)@k=8","sep(1,2)@k=8","sep(2,3)@k=12"
alloc012-m0.35,sigma0.09-seed0,13,13,TrialState.SUCCESSFUL|SHUT_DOWN,51.126641035,0-1-2,0.35,0.09,0,1,node limit,4,8000,0.594518614,3.692636566,50.716969161,9.106796736,0.2275,0.35,0.35,0.35,0.065628434,0.065628434,0.099334117,0.065628434,0,"sep(1,2)@k=8","sep(1,2)@k=8","sep(2,3)@k=11"
alloc012-m0.35,sigma0.09-seed1,14,14,TrialState.SUCCESSFUL|SHUT_DOWN,51.1238873,0-1-2,0.35,0.09,1,1,node limit,4,8000,0.594518614,3.692636566,50.399938811,9.106796736,0.2275,0.35,0.35,0.35,0.249386032,0.201440819,0.255182426,0.201440819,0,OBS_WALL_NORTH@k=6,ST_S2@k=14,"sep(2,3)@k=11"
alloc012-m0.35,sigma0.09-seed2,15,15,TrialState.SUCCESSFUL|SHUT_DOWN,51.123980522,0-1-2,0.35,0.09,2,1,node limit,4,8000,0.594518614,3.692636566,50.709361794,9.106796736,0.2275,0.35,0.35,0.35,0.026213197,0.026213197,0.15324856,0.026213197,0,"sep(1,2)@k=8","sep(1,2)@k=8",OBS_WALL_SOUTH@k=6
